,country_code,country,country_freq,target
0,US,United States,7532,0.23369870713884205
1,GB,United Kingdom,2843,0.27905255366395265
2,CA,Canada,2122,0.3704624564893088
3,IN,India,299,0.3665480427046263
4,AU,Australia,285,0.18045112781954886
5,PH,Republic of the Philippines,283,0.36704119850187267
6,IE,Ireland,245,0.24890829694323144
7,ZA,South Africa,216,0.33497536945812806
8,DE,Germany,133,0.1349206349206349
9,MX,Mexico,122,0.2818181818181818
10,MY,Malaysia,109,0.3786407766990291
11,ID,Indonesia,107,0.35353535353535354
12,TH,Thailand,101,0.2631578947368421
13,NL,The Netherlands,91,0.06896551724137931
14,NG,Nigeria,84,0.4457831325301205
15,KE,Kenya,79,0.4533333333333333
16,PL,Poland,78,0.20270270270270271
17,IT,Italy,74,0.17647058823529413
18,SG,Singapore,63,0.2982456140350877
19,AE,United Arab Emirates,54,0.22448979591836735
20,GR,Greece,51,0.1836734693877551
21,ES,Spain,51,0.3617021276595745
22,AT,Austria,49,0.13636363636363635
23,CN,People's Republic of China,45,0.4090909090909091
24,KR,Republic of Korea,44,0.425
25,JP,Japan,33,0.3939393939393939
26,CH,Switzerland,32,-0.03125
27,LK,Sri Lanka,30,0.17857142857142858
28,KW,Kuwait,30,0.034482758620689655
29,FR,France,26,0.4
30,TR,Turkey,26,0.0
31,SE,Sweden,24,0.375
32,PK,Pakistan,23,0.22727272727272727
33,BE,Belgium,23,0.13636363636363635
34,NZ,New Zealand,21,0.3157894736842105
