,United States_tweets,United States_sentiment,United Kingdom_tweets,United Kingdom_sentiment,India_tweets,India_sentiment,Nigeria_tweets,Nigeria_sentiment,Australia_tweets,Australia_sentiment
0,Drinks made by me I tried  party_popper  bow_and_arrow   HisAndHers  socialdistancing  ValentinesDay2021  kiss_mark  sparkles   Ft MYERSCity Of Palms,neutral,If it wasnt eaten on calls this could have been a brightening lunch  conferencecall  zoom  caviar  trout  wfh  lunch  lunchbreak  sourcream  chives  Upper Street,neutral,The drive to sustain covid free status of  India   poliovaccinationdrive  poliovaccineday2021  Rajajinagar Government Hospital,positive,Since Covid wont let us be great heres some food for yall  Allen Avenue Ikeja,positive,Bushfire sky from yesterday amp today Double two two one 2221 2nd Feb 2021  BushFire  Summer  2021  Sky  Nature  StayHome  LockDown  February  Burswood Western Australia,neutral
1,Can you recommend anyone for this Pharmacy Technician  Retail Store job in  SanDiego CA Click the link in our bio to see it and more Pharmacy Technician COVID Vaccine Support at CVS Health,positive,Latest Surrey coronavirus infection rates by area as three places remain above the national average,neutral,Chandigarh Cooperative Bank Loot The accused robbed the bank of Rs865452 showing a toy gun had lost the job during Lockdown  Chandigarh India,neutral,Wear a Mask face_with_medical_mask  Wash you hands lotion_bottle  Stay Safe folded_hands_medium-dark_skin_tone  Love with God dove   StValentinesDay revolving_hearts   Nigeria,positive,Isnt there a law in the US about the body of military members being government property as it pertains to self harm Well,neutral
2,Haircut by Rudy sparkles First vaccine and first haircut in a Year  sparkles   haircut  happy  happyhairday  selfcare  hairstyling  covidshot  vacine  Austin  Rolfe Salon,positive,Have you discover your plans once lockdown is over Is it nature tripping or beach hunting Let me know your thoughts  face_with_monocle  Well mine God show me the path then I will go  winking_face   London United Kingdom,neutral,Lockdown memories  Surat Gujarat,neutral,Vaccine cold room all the way First Nigerian Manufacturing company to launch Vaccine Cold room Dekoolar Nigeria limited We cool it we Freeze it snowflake  snowflake   Lagos Nigeria,positive,Face distortion Pre lockdown woozy_face      twins  perthtwins  twinboys  infreo  perthisok  canonaustralia  canon  aipp official  perthweddingphotographer  westernaustralia  twinlife,neutral
3,Gin is top tier poverty,positive,booked a break just after easter  hatching_chick  we shall see  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing   lockdown  Bainland Country Park,negative,When life was  corona free 2 years ago  crying_face   corona go go go  Juhu Beach,positive,Omo my red on red this morning no be here Happy valentines day people Please stay safe Covid19 still dey Enjoy your day  strawberry  strawberry  strawberry  strawberry  woman_dancing  woman_dancing   Our promo is still on Yes we take orders on Sunday  Happy Sunday,positive,In the middle  thats how it felt after the Victorian 5day snap lockdown was announced yesterday whilst I was munching my Kilpatricks further south  man_facepalming_light_skin_tone   DiscoverTasmania  TassieStyle,positive
4,Join us this Friday Feb 5th from 69p for the First Friday Art Walk Masks are required amp social distancing is encouraged Inquiries infobitfactorynet  BitfactoryGallery  Denver  ColoradoArtist  GroupExhibition  NoShow  FifthAnnual  Invitational  Art  ArtDistrictOnSantaFe,positive,New lockdown month Lets do this February and close every circle this month  fire  flexed_biceps  fire   achievemore  zoom  hiit  fblive  exerciseathome  droitwich  worcestershire  exerciseforall  mondaymotivation  Sanders Fitness,positive,Got my 2nd dose of Covid Vaccination  Rainbow Childrens Hospital Bannerghatta Road,neutral,Male Lhasa Apso for sale at a give away price 11 months Vaccines up to date Contact 07054287905  Ibadan Nigeria,neutral,Looking forward to tomorrow  walinds  perthlinds  lockdown  masks  covid  Perth Western Australia,positive
5,Staying in until its safe to go out  ValentinesDay  StayHome  StaySafe  Prom  Love  FilteredToDeath  Boston Massachusetts,positive,Brothers in Lockdown 3  brighton  brothers  toddler  Brighton,neutral,At Delhis most beautiful park the coronavirus pandemic is a thing of the past and there is no need to wear masks Chee  face_with_medical_mask   Sunder Nursery,positive,Global Prayer Walk If theres a man to pray theres a God to answer against COVID19 for REVIVAL  rccgmps therccgmp rccg pr lekeadeboye  RCCG Messiahs Praise SanctuaryYouth Church,neutral,Who wore it better  face_with_medical_mask  Wishing all our clients the best in this minilockdown period Hopefully well be open again on Thursday 18th of February  richmond3121  lockdown3  melbournelife  Coburg Velodrome,positive
6,Is your facility ready to deal with Covid19 let windy city provide you a solution ask about our quick sterilization process black owned  Chicago Illinois,positive,Hungary likely to intensify lockdown measures as infections surge,positive,INNR  87 per cent of women felt at risk or knew someone at risk of harassment assault during pandemic   in access to sexual health services compared to other females Twentysix per cent of female respondents in India stated that they have had,positive,Splash Sales IPhone 8 64gb N95000 Fast finger Just One  phonemediccare Call 08089901173 Payment validate Keep it for me  smiling_face_with_smiling_eyes   Festac Town Lagos,positive,Ready for a 5 day lockdown Hang in there Victoria   lockdown  covid 19  imready  Melbourne Victoria Australia,neutral
7,Just posted a photo  Caf Quarantine,neutral,Cant wait for the regional tiers  pleading_face  Once again yawn yawn yawn the answer is poverty and deprivation and a deliberate underfunding of anything north of London,negative,Glad to be on the  urbandebate with eminent doctors and my friend and one of the most eminent doctors in the country Anupam Sibal and TanviShukla  covid 19  vaccine  safetyadvocate  staysafe  maskon,positive,As we celebrate the season of Love  please mask up to help stop the spread of Covid 19  face_with_medical_mask   justjules  brand  mask  covid19  love  celebrate  candles  diffuser  roomspray  waxmelts  tealight  gift  staysafe,positive,Still  nocricket but more work to do for groundskeeper  lockdown  day2  backyard  backyardcricket  lightroller  Melbourne Victoria Australia,positive
8,Just finished Untamed by  GlennonDoyle It is my 93rd book during COVID  Untamed  Rileys Red Wagon Book Swap,neutral,Two weeks until the move  morningcommute  narniahouse  hampstead  weekendwanderings  covid19  coronavirus  lockdown3  lockdown  London  Westminster,neutral,Just Pay 10 Now and 90 On Registry  Godrej  Property  Gurgaon  1090 Payment Plan Lockdown  3BHK  Apartment  Flat  ForSale  Sector3  Residential,neutral,face_with_medical_mask Please always remember to have a face mask on when youre not by yourself Lets end this pandemic  staysafe  wearamask  endcovid19  stopcovid19  tagnigeria  Nigeria,neutral,Review by clarkegw about Broome Golf Club Another country town golf course weve tried during the Covid restricti,neutral
9,Join the CVS Health team See our latest Pharmacy Technician  Retail Store job openings including Pharmacy Technician  COVID 19 Vaccine Support via the link in our bio  Petaluma CA,positive,Natalie sharing what she loves about AVID smiling_face_with_hearts   healthcare  valenspines  lockdown,positive,Are you stiff and sore because of working from home Stiff muscles can add to the stress You need an expert to treat it Contact us today  WorkFromHome  WFH  WorkfromHomestress  PhysicalFitness  Physio,negative,Its a good day to put on a smile  beaming_face_with_smiling_eyes   maskup  nigeria  radio  covid 19  lifestyle  The Beat 979 FM Abuja,positive,Prelockdown social brunch at  Archies with the super Gonzalezesnadjacents stolen photos so not everyone shown  Archies All Day,positive
