,Unnamed: 0,Tweets,target
0,0,china insider less than 4 percent of chinese have received covid 19 vaccine,negative
1,1,"at globaltimesnews gt "" chinese abroad anticipate china's vaccine programme difficulties remain "" everybody not cut for every work could try request india's help improving vaccine quality",neutral
2,2,pakistan public prefer india's covid vaccine over chinese,neutral
3,3,china insider less than 4 percent of chinese have received covid 19 vaccine via at epochtimes,negative
4,4,hong kong two die after receiving chinese made coronavirus vaccine,neutral
5,5,china insider less than 4 percent of chinese have received covid 19 vaccine download our app to read more at,positive
6,6,chinese vaccine is actually virus they want to spread the ccp virus more,positive
7,7,at chengshiyishan at officiallytj04 at inquirerdotnet at kaguilarinq huh duterte created his own mess by announcing that his guards already had vaccine through smuggling and his non stop promotion of chinese vaccines like a medical representative,positive
8,8,two dead two in icu in hong kong after receiving chinese covid 19 vaccine,negative
9,9,less than 4 percent of chinese have received covid 19 vaccine,neutral
10,10,chinese sinovac vaccine shows reduced efficacy against sars cov2 variant identified in brazil but astrazeneca’s holds up well early data,positive
11,11,so india send we the vaccine free of cost but i'm seeing a chinese man representing the shipment  thinking_face  thinking_face,positive
12,12,at fuwaffy oof my chinese mom is skeptic only for this vaccine and half our family is in the medical field  loudly_crying_face  i feel your struggle (she eventually got the first one),positive
13,13,two dead two in icu in hong kong after receiving chinese covid19 vaccine justthenews,negative
14,14,at globaltimesnews people dropping dead because of china vaccine but efficiency goes up is this chinese math  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing,negative
15,15,venezuela begins immunization campaign with chinese vaccine,neutral
16,16,china insider less than 4 percent of chinese have received covid 19 vaccine via epochtimeschina,negative
17,17,"whether it is a chinese vaccine or not it is a good vaccine so long as it is safe and effective china opposes ""vaccine nationalism"" we reject any ""vaccine divide"" or any attempt to politicize vaccine cooperation",positive
18,18,i know people who preach about how bad the flu vaccine is and no way would they ever get it — but they are first in line for the chinese virus vaccine face_with_rolling_eyes  face_with_rolling_eyes  face_with_rolling_eyes,negative
19,19,v safe—a tool that monitors covid19 vaccine safety—is now available in spanish vietnamese korean and simplified chinese v safe texts you links to short surveys so you can tell cdc how you feel register for v safe after your vaccination,positive
20,20,v safe—a smartphone based tool that monitors vaccine safety—is now available in spanish vietnamese korean and simplified chinese tell cdc how you feel after covid19 vaccination by completing short surveys learn more &amp register,positive
21,21,"watch ""less than 4 percent of chinese have received covid 19 vaccine | epoch news | china insider"" on youtube",negative
22,22,venezuela started on monday the vaccination campaign against covid 19 with the chinese vaccine after receiving 500 000 doses on saturday focusing on frontline workers such as doctors and teachers,neutral
23,23,"""meanwhile on total drama corona"" chris mclean ""alright campers your next challenge is to not get covid 19 whoever gets to the covid vaccine first gets to live those who don't will be sent to a chinese concentration camp sponsored by disney's mulan """,positive
24,24,less than 4 percent of chinese have received covid 19 vaccine | epoch news | china insider,neutral
25,25,woah i got the vaccine and now i'm a gay rapist pedophile who loves nothing more than the chinese communist party you guys were right steer clear,positive
26,26,at fatemperor then the vaccine doesn’t work lockdowns are a chinese communist party policy and should never be used again,neutral
27,27,i'm not gonna get the chinese vaccine if i'm gonna get a chip implanted in me it better be for sexy russians purr,positive
28,28,at brookeelierman there are more resistant white gop males than blacks people who are resisting the vaccine you can blame trump and his chinese conspiracy theories for that,positive
29,29,at dragonage2ftw at moviecrazeyt at starwars at ginacarano at the beginning democrats were ignoring it pelosi told people to go to china town cuomo didn’t want to shut down new york the dem sleeping with a chinese agent told people to stop wearing masks when the vaccine was being done they were question it because “trump”,neutral
30,30,at burnside 5 at shaytantruth at hojoundo at sozzinski at borisjohnson at conservatives i’ve had it too no side effects husband had the pfizer one and daughter in dubai where it’s mandatory to have the vaccine has had 2 doses of the chinese one and seems ok we were given a little card each she was given a vaccine certificate,positive
31,31,this link should allow you to see the commentaries that dr steve itugbu and i made tonight on chinese vaccine diplomacy in africa,neutral
32,32,i'm getting chinese takeout for dinner celebrate my vaccine and the roof and gutters being done i can park in the driveway again yes,neutral
33,33,many international travelers will likely need to prove they are vaccinated or free of covid 19 if they plan trips later this year after the european union and china both said they would move ahead with plans for vaccine passports via at wsj,positive
34,34,mom got the chinese vaccine today she has thyroid problems and so it is not quite the best thing to get any of the vaccines but the possible negative side effects are still outweighed by the serious damage or even death that covid could result in,positive
35,35,russian chinese hackers may have stolen european vaccine data,neutral
36,36,russian chinese hackers may have stolen european vaccine data infosec cybersecurity via at engadget,neutral
37,37,i would take the chinese vaccine but not the russian vaccine,neutral
38,38,less than 4 percent of chinese have received covid 19 vaccine | epoch ne via at youtube,neutral
39,39,chinese sinovac vaccine shows reduced efficacy against sars cov2 variant identified in brazil – but astrazeneca’s holds up well – early data,positive
40,40,well when are we being given the chinese vaccine that’s 83% effective or should i ask when china is donating it eyes,positive
41,41,orph new 'the economist' podcast with dr andrew catchpole the podcast also discuss's how regulators will want to test vaccines chim’s could answer a number of these various questions (especially the chinese ones ) worth a listen ~16 min 30 secs,positive
42,42,chinese abroad anticipate china's vaccine program difficulties remain,neutral
43,43,patriots stay 6ft away from that chinese virus vaccine  angry_face_with_horns  the chinese virus has a 99 8% survival rate why are you putting poision in your body  fire,neutral
44,45,"at jmt 18325 and also ""to date"" we're actually doing pretty well on vaccine supply too for a country with no domestic production capacity that doesn't want to rely on chinese or russian vaccines",positive
45,46,both china and russia were interested in stealing the shipping destinations and purchase sizes for pfizer and biontechpfizer's covid19 vaccines both confirmed that their vaccine files were “unlawfully accessed” in the breach,positive
46,47,at robertsamor at nebraskapigs color me cynical the communist chinese party did not have asf under control and are blaming “illegal” vaccines for their lies how in the world would anyone be able to make millions of doses of this “illegal” vaccine in a country of communist karen’s,negative
47,48,russian disinformation campaign aims to undermine confidence in pfizer other covid 19 vaccines u s officials say communist disinformation the world ain’t chasin’ sputnik the russian vaccine not the chinese vaccine,neutral
48,49,china or west which vaccines best frankly i don't care about subtle efficacy differences as to the method used in creating them many prefer the chinese vaccine for its traditional deactivated virus method serious question is why west prioritised development of novel vaccine,positive
