,Unnamed: 0,Tweets,target
0,0,does pfizer cause pfatigue or am i just pfucking lazy,negative
1,1,at slooterman me last sunday after second pfizer,neutral
2,2,at anarchyinthewc had pfizer saturday evening hardly felt injection and absolutely no side effects,positive
3,3,at tonywalker1 tony so aus is the poor cousins of nz my belief is that members of this govt have shares in csl so there is no urgency 4 roll out media &amp cho have gone quite over the efficiency of astra v pfizer austria suspended their roll out of the astra vaccine 2 instances 1 death,negative
4,4,at darinp2 at benyt the 95% is the general rate of protection among fully vaccinated people (pfizer &amp moderna) against contracting the virus according to drug company trials this article puts that out but then supports that assertion with facts tending to show a rate of 99 8% protection,positive
5,5,at disinfoguru at taggartheidi at pwaaaay at gonnaloseitall at adam stratford adverse events from the pfizer shot,neutral
6,6,a new lab study shows troubling signs that pfizer's and moderna's covid 19 shots could be far less effective against the variant first found in south africa,positive
7,7,can people fly up and take the pfizer or j &amp j vaccine,positive
8,8,at chriscuomo i had my second pfizer shot on friday and woke up with aslight fever and chills on saturday fever was gone by 10pm so worth it,neutral
9,9,at tnewtondunn at timesradio how about pfizer tom,neutral
10,10,at affleckquine wouldn't say very ill but definite side effects which were unpleasant at times friends and family got az lucky me i got pfizer,negative
11,11,at beetsbluecheese at deadlinewh at vinguptamd at nicolledwallace the at cdcgov is sabotaging their own narrative people hear what they want to hear i get my second pfizer dose next week and i'm still not planning to visit my parents after the two week window the consequences of taking our foot off the gas prematurely are enormous,positive
12,12,at kleeoanimallove that's amazing i was hoping to get that one also but got the available pfizer instead,positive
13,13,at brentswenson2 this didn't happen under trump,neutral
14,14,oh really,positive
15,15,pfizer seeks sovereign assets as collateral for vaccine injury lawsuits,neutral
16,16,coronavirus live news pfizer vaccine works on brazil variant us airlines ask biden to back covid travel guidelines,positive
17,17,"""clearly the vaccine is an exceptionally effective vaccine "" listen opposition mps and medical experts are backing the government's decision to make pfizer new zealand's main covid 19 vaccine",positive
18,18,pfizer is demanding countries put up sovereign assets including bank reserves military bases and embassy buildings as collateral for expected vaccine injury lawsuits resulting from its covid 19 inoculation argentina and brazil have rejected pfizer’s demands,neutral
19,19,at daxgigandet wife and i have had both shots of pfizer vaccine 2 wks as of friday wife starts tomorrow as a vaccinator at a local site,neutral
20,20,at khdoucette at alexberenson at pfizer no not difficult at all i love vaccines because they prevent illness and death this is a fact and i am happy to celebrate it human ingenuity at its best it’s not hard to be objective about facts,positive
21,21,pfizer biontech covid 19 vaccine the 'life saving' drug that seems to be killing people via at shareaholic,neutral
22,22,pfizer moderna vaccines may be less effective against variant lab study,positive
23,24,‘the pfizer/biontech vaccine was the first to be approved in the uk and türeci said it was the company’s balanced workforce that ‘made the impossible possible’ in creating a jab in just 11 months co founder says gender equality made vaccine possible,positive
24,25,psa you're considered fully vaccinated if 2 weeks after 2nd dose of pfizer or moderna or 2 weeks after a single dose of johnson &amp johnson’s if less than 2 weeks since your full dose you are not fully protected keep taking all prevention steps until you are fully vaccinated,positive
25,26,at scrap iron ryan then poof at pfizer was sold,neutral
26,27,my personal vaccine report 2nd dose of pfizer vac administered 5 days ago no problems at all seriously none 1st dose injection arm was pretty sore for a couple of days also about 2 days of feeling a bit off nothing terrible ***ymmv (your mileage may vary),negative
27,28,at daxgigandet have already taken both doses of the pfizer vaccine,neutral
28,29,new study warns pfizer and moderna covid 19 vaccines could be far less effective against south africa variant oh great,positive
29,30,at catturd2 jacinda ardern wants to kill us all and she's not even trying to cover it up anymore by radio new zealand 9 march 2021 jacindaardern killer unwed unelected unwanted unethical babykiller vaxxdamage batvirus,negative
30,32,at msdianamkscm at deborahgiacole2 at kitchen5203 at temecularises at djangomydog at roseymelhill at aussiedebpeace at eathbound420 at butterskatz at callkurt at clairermassey at ampmtalk at katibug817 at kristinresistin at kingrezizt at reesusp at eugenewilkie11 at 1strongrobin at doxie53 at wikweko at leonalioness6 at kokomothegreat at angelabelcamino at lobstah luvah at maryellen622 at ibleedblue2021 at cplusarmy36 at kk131066 at oxxrowanxxo at new allyo at shawnlindley2 at endgamejan21 at kellieadennis74 at lennythin at steveontwitty at zackhammer7 at michaelchrisla at maddog4biden at wifeyspice90 at vforvictory46 at claudiakitty g at michelle spenc at texy liz at samiknowsbest1 at lougarza86 at faridghalili at sergeivote at kellabel at drwineau at teasipping barb i had pfizer too,neutral
31,33,at benmarten at alexberenson at laurenpersoff at pfizer the unvaccinated population is likely to be much less healthy overall right or at least very different no matter where you look how can you hope to control for that,positive
32,34,variants of concern and pfizer vaccine,neutral
33,35,new study warns pfizer and moderna covid 19 vaccines could be far less effective against south africa variant,positive
34,36,jacinda ardern wants to kill us all and she's not even trying to cover it up anymore by radio new zealand 9 march 2021 jacindaardern killer unwed unelected unwanted unethical babykiller vaxxdamage batvirus,negative
35,37,hcc employment scientist purification process development at pfizer inc,neutral
36,38,hcc employment sr associate engineer drug product manufacturing at pfizer inc,neutral
37,39,hcc employment group leader drug product design &amp development at pfizer inc,positive
38,40,at plantzzman at sandraweeden at moriartyprofj3 it’s illegal not to admit to deaths if they are vaccine caused have you any evidence people misreport vaccine deaths there are zero deaths reported in almost all the workd with any vaccine — but the pfizer moderna and j&amp j jabs are particularly safe adverse reactions down,positive
39,41,at laurenpersoff at alexberenson at pfizer i'm with you that's why i asked the other fella for sources for his claims,neutral
40,42,earlier this afternoon at drwrighthays joined numerous hays cisd employees in getting the first of two pfizer covid 19 vaccinations at the hays cisd pac,positive
41,44,at soflorattler tomorrow march 9th at  4 30pm 2nd pfizer shot due at jackson hospital,negative
42,45,at omarabdoun i'm sorry but i don't see where your cdc link says it prevents asymptomatic transmission your article says that pfizer is effective at preventing severe symptoms,negative
43,46,at ginagaston13 yeah that second pfizer had me so sick last friday i couldn’t go to work,negative
44,47,at thebeerbitch at aynw husband got pfizer did not have covid afaik and didn’t feel sick,neutral
45,49,just got my first pfizer covid shot,positive
46,50,where does your inspiration come from pfecolleague,neutral
47,51,at daydreamingdane at alexberenson at pfizer the vaccine works it prevents death from covid the people now dying of covid in israel right now are those who are not vaccinated,positive
48,52,covid 19 vaccination data summary for co (march 8)  small_orange_diamond 1 054 537 coloradans immunized with one dose  small_orange_diamond 612 538 coloradans immunized with two dose  small_orange_diamond 1 655 939 total doses administered  small_orange_diamond 850 944/791 546 pfizer/moderna coloradovaccine,negative
49,53,the cdc defines people who are fully vaccinated as those who are two weeks past their second dose of the moderna and pfizer covid 19 vaccines or two weeks past a single dose of the johnson &amp johnson vaccine,positive
50,54,at beccalonarose ooh pfizer or moderne or doesn’t matter,neutral
51,55,at morton19016763 at full spinnaker at nationalpost the us and uk both received from overseas more pfizer vax in the first 3 weeks than we did in over 3 months israel is small and 100% of their 8m shots were pf we ignored canadian companies that expected to be able to make 5m by this spring with funding admitting failure is ok,positive
52,56,sars cov 2 variant b 1 351 is markedly more resistant to neutralization by convalescent plasma (9 4 fold) and vaccinee sera (12 4 fold moderna 10 3 fold pfizer) at nature,positive
